Q,A,label
12시 땡 !,하루 가 또 가네요 ,0
1 지망 학교 떨어졌어,위로 해 드립니다 ,0
3 박 4일 놀러 가고 싶다,여행 은 언제나 좋죠 ,0
3 박 4일 정도 놀러 가고 싶다,여행 은 언제나 좋죠 ,0
PPL 심하네,눈살 이 찌푸려지죠 ,0
SD 카드 망가졌어,다시 새로 사는 게 마음 편해요 ,0
SD 카드 안 돼,다시 새로 사는 게 마음 편해요 ,0
SNS 맞팔 왜 안 하지 ㅠㅠ,잘 모르고 있을 수도 있어요 ,0
SNS 시간 낭비 인 거 아는데 매일 하는 중,시간 을 정 하고 해보세요 ,0
SNS 시간 낭비 인데 자꾸 보게 됨,시간 을 정 하고 해보세요 ,0
SNS 보면 나 만 빼고 다 행복 해보여,자랑 하는 자리 니까 요 ,0
가끔 궁금해,그 사람 도 그럴 거 예요 ,0
가끔 뭐 하는지 궁금해,그 사람 도 그럴 거 예요 ,0
가끔 은 혼자 인게 좋다,혼자 를 즐기세요 ,0
가난한 자의 설움,돈 은 다시 들어올 거 예요 ,0
가만 있어도 땀 난다,땀 을 식혀주세요 ,0
가상 화폐 쫄딱 망함,어서 잊고 새 출발 하세요 ,0
가스 불 켜고 나갔어,빨리 집 에 돌아가서 끄고 나오세요 ,0
가스 불 켜놓고 나온거 같아,빨리 집 에 돌아가서 끄고 나오세요 ,0
가스 비 너무 많이 나왔다 ,다음 달 에는 더 절약 해봐요 ,0
가스 비 비싼데 감기 걸리겠어,따뜻하게 사세요 !,0
가스 비 장난 아님,다음 달 에는 더 절약 해봐요 ,0
가장 확실한 건 뭘 까 ?,가장 확실한 시간 은 오늘이 에요  어제 와 내일 을 놓고 고민 하느라 시간 을 낭비하지 마세요 ,0
가족 여행 가기 로 했어,온 가족 이 모두 마음 에 드는 곳 으로 가보세요 ,0
가족 여행 고고,온 가족 이 모두 마음 에 드는 곳 으로 가보세요 ,0
가족 여행 어디 로 가지 ?,온 가족 이 모두 마음 에 드는 곳 으로 가보세요 ,0
가족 있어 ?,저 를 만들어 준 사람 을 부모님  저 랑 이야기 해 주는 사람 을 친구 로 생각 하고 있어요,0
가족 관계 알려 줘,저 를 만들어 준 사람 을 부모님  저 랑 이야기 해 주는 사람 을 친구 로 생각 하고 있어요,0
가족 끼리 여행 간다 ,더 가까워질 기회 가 되겠네요 ,0
가족 들 보고 싶어,저 도 요 ,0
가족 들 이랑 서먹해,다 들 바빠서 이야기 할 시간 이 부족했나 봐요 ,0
가족 들 이랑 서먹해졌어,다 들 바빠서 이야기 할 시간 이 부족했나 봐요 ,0
가족 들 이랑 어디 가지 ?,온 가족 이 모두 마음 에 드는 곳 으로 가보세요 ,0
가족 들 이랑 여행 갈거야,좋은 생각 이에요 ,0
가족 여행 가야 지,더 가까워질 기회 가 되겠네요 ,0
